TIPOLOGIA;DESCRIZIONE;PREZZO
Antipasto;Antipasto Misto Mare;10,00
Primo;Pennette al salmone;9,50
Primo;Penne al pomodoro;7,50
Secondo;Salsiccia alla brace 2 pezzi;6.50
Contorno;Patate arrosto;4.00
Dolce;Cheesecake fragola;5.00
Bevande;Acqua Nat. 1 lt;2.00
Bevande;Acqua Frizzante 1 lt;2.00
Bevande;Birra Moretti 66cl.;4.00
Antipasto;Bruschette all'olio;5.00
Antipasto;Bruschette con olio e pomodori;5.50
Antipasto;Insalata di mare;11.00
Primo;Tortelli al ragù di pesce;8.50
Primo;Lasagne zucchine gamberetti e salmone;9.50
Secondo;Orata arrosto;11.50
Secondo;Frittura mista;13.00
Secondo;Polpette di pesce;10.00
Contorno;Patate fritte;3.50
Contorno;Insalata verde;3.00
Contorno;Insalata mista;3.50
Dolce;Tiramisu;5.00
Dolce;Panna cotta;5.00
Dolce;Sorbetto al limone;5.00
Dolce;Gelato 3 palline;5.00
Bevande;Bibite lattina;4.00
Bevande;Vino rosso ½ litro;5.50
Bevande;Vino bianco frizzantino ½ litro;5.50
Antipasto;Cocktail di gamberi;8.00
Antipasto;Cozze alla marinara;7.50
Contorno;Verdure grigliate;4.50
Bevande;Caffè;1,50
Bevande;Liquori;3,00
Bevande;Grappa;3,50
Bevande;Limoncello;4.50
Secondo;Trancio di Salmone;7.50
Bevande;Sgroppino;6.50
Primo;Lasagne al ragù di carne;7.50
Antipasto;Aragosta flambè;18.50
Dolce;Cheesecake caramello;5.00
Dolce;Cheesecake frutti di bosco;5.00
Bevande;Caffè macchiato;1.50
Antipasto;Ostriche;35.00
Bevande;Champagne Moët & Chandon;49.00
